algorithm,input_type,n,trial,time_us,comparisons
BubbleSort,random,1000,1,496,498465
BubbleSort,random,1000,2,509,499422
BubbleSort,random,1000,3,561,498939
BubbleSort,random,1000,4,569,499497
BubbleSort,random,1000,5,616,498905
InsertionSort,random,1000,1,106,243616
InsertionSort,random,1000,2,118,256060
InsertionSort,random,1000,3,130,252714
InsertionSort,random,1000,4,161,255457
InsertionSort,random,1000,5,118,240674
MergeSort,random,1000,1,54,8693
MergeSort,random,1000,2,62,8684
MergeSort,random,1000,3,58,8694
MergeSort,random,1000,4,64,8685
MergeSort,random,1000,5,51,8713
QuickSort_First,random,1000,1,43,11077
QuickSort_First,random,1000,2,38,10290
QuickSort_First,random,1000,3,39,10662
QuickSort_First,random,1000,4,40,10475
QuickSort_First,random,1000,5,37,10365
QuickSort_Random,random,1000,1,50,12864
QuickSort_Random,random,1000,2,44,11590
QuickSort_Random,random,1000,3,52,11029
QuickSort_Random,random,1000,4,43,10757
QuickSort_Random,random,1000,5,44,11574
QuickSort_Median3,random,1000,1,41,11741
QuickSort_Median3,random,1000,2,36,10703
QuickSort_Median3,random,1000,3,38,11256
QuickSort_Median3,random,1000,4,46,11566
QuickSort_Median3,random,1000,5,39,11090
HeapSort,random,1000,1,50,16880
HeapSort,random,1000,2,41,16866
HeapSort,random,1000,3,42,16843
HeapSort,random,1000,4,44,16846
HeapSort,random,1000,5,44,16873
RadixSort,random,1000,1,21,0
RadixSort,random,1000,2,20,0
RadixSort,random,1000,3,19,0
RadixSort,random,1000,4,15,0
RadixSort,random,1000,5,16,0
BubbleSort,increasing,1000,1,1,999
BubbleSort,increasing,1000,2,0,999
BubbleSort,increasing,1000,3,0,999
BubbleSort,increasing,1000,4,0,999
BubbleSort,increasing,1000,5,0,999
InsertionSort,increasing,1000,1,0,999
InsertionSort,increasing,1000,2,1,999
InsertionSort,increasing,1000,3,1,999
InsertionSort,increasing,1000,4,1,999
InsertionSort,increasing,1000,5,1,999
MergeSort,increasing,1000,1,16,5044
MergeSort,increasing,1000,2,14,5044
MergeSort,increasing,1000,3,15,5044
MergeSort,increasing,1000,4,14,5044
MergeSort,increasing,1000,5,13,5044
QuickSort_First,increasing,1000,1,206,499500
QuickSort_First,increasing,1000,2,215,499500
QuickSort_First,increasing,1000,3,179,499500
QuickSort_First,increasing,1000,4,180,499500
QuickSort_First,increasing,1000,5,182,499500
QuickSort_Random,increasing,1000,1,30,11993
QuickSort_Random,increasing,1000,2,23,11993
QuickSort_Random,increasing,1000,3,20,11993
QuickSort_Random,increasing,1000,4,19,11993
QuickSort_Random,increasing,1000,5,19,11993
QuickSort_Median3,increasing,1000,1,10,9520
QuickSort_Median3,increasing,1000,2,8,9520
QuickSort_Median3,increasing,1000,3,7,9520
QuickSort_Median3,increasing,1000,4,7,9520
QuickSort_Median3,increasing,1000,5,8,9520
HeapSort,increasing,1000,1,38,17583
HeapSort,increasing,1000,2,38,17583
HeapSort,increasing,1000,3,44,17583
HeapSort,increasing,1000,4,44,17583
HeapSort,increasing,1000,5,42,17583
RadixSort,increasing,1000,1,17,0
RadixSort,increasing,1000,2,17,0
RadixSort,increasing,1000,3,17,0
RadixSort,increasing,1000,4,15,0
RadixSort,increasing,1000,5,13,0
BubbleSort,decreasing,1000,1,459,499500
BubbleSort,decreasing,1000,2,444,499500
BubbleSort,decreasing,1000,3,372,499500
BubbleSort,decreasing,1000,4,389,499500
BubbleSort,decreasing,1000,5,430,499500
InsertionSort,decreasing,1000,1,224,499500
InsertionSort,decreasing,1000,2,220,499500
InsertionSort,decreasing,1000,3,233,499500
InsertionSort,decreasing,1000,4,240,499500
InsertionSort,decreasing,1000,5,231,499500
MergeSort,decreasing,1000,1,17,4932
MergeSort,decreasing,1000,2,12,4932
MergeSort,decreasing,1000,3,12,4932
MergeSort,decreasing,1000,4,12,4932
MergeSort,decreasing,1000,5,17,4932
QuickSort_First,decreasing,1000,1,303,499500
QuickSort_First,decreasing,1000,2,305,499500
QuickSort_First,decreasing,1000,3,311,499500
QuickSort_First,decreasing,1000,4,267,499500
QuickSort_First,decreasing,1000,5,295,499500
QuickSort_Random,decreasing,1000,1,38,12383
QuickSort_Random,decreasing,1000,2,27,12383
QuickSort_Random,decreasing,1000,3,26,12383
QuickSort_Random,decreasing,1000,4,21,12383
QuickSort_Random,decreasing,1000,5,21,12383
QuickSort_Median3,decreasing,1000,1,14,15995
QuickSort_Median3,decreasing,1000,2,15,15995
QuickSort_Median3,decreasing,1000,3,13,15995
QuickSort_Median3,decreasing,1000,4,13,15995
QuickSort_Median3,decreasing,1000,5,13,15995
HeapSort,decreasing,1000,1,42,15965
HeapSort,decreasing,1000,2,38,15965
HeapSort,decreasing,1000,3,33,15965
HeapSort,decreasing,1000,4,30,15965
HeapSort,decreasing,1000,5,30,15965
RadixSort,decreasing,1000,1,14,0
RadixSort,decreasing,1000,2,13,0
RadixSort,decreasing,1000,3,14,0
RadixSort,decreasing,1000,4,13,0
RadixSort,decreasing,1000,5,13,0
BubbleSort,random,5000,1,11298,12491722
BubbleSort,random,5000,2,11049,12490830
BubbleSort,random,5000,3,11326,12496275
BubbleSort,random,5000,4,11085,12488589
BubbleSort,random,5000,5,11169,12493222
InsertionSort,random,5000,1,2963,6159959
InsertionSort,random,5000,2,2761,6368123
InsertionSort,random,5000,3,2687,6244070
InsertionSort,random,5000,4,2760,6317884
InsertionSort,random,5000,5,2649,6279267
MergeSort,random,5000,1,297,55221
MergeSort,random,5000,2,336,55242
MergeSort,random,5000,3,280,55226
MergeSort,random,5000,4,282,55267
MergeSort,random,5000,5,280,55185
QuickSort_First,random,5000,1,243,77245
QuickSort_First,random,5000,2,264,73180
QuickSort_First,random,5000,3,222,68311
QuickSort_First,random,5000,4,223,67898
QuickSort_First,random,5000,5,224,68595
QuickSort_Random,random,5000,1,271,75499
QuickSort_Random,random,5000,2,268,69830
QuickSort_Random,random,5000,3,259,72779
QuickSort_Random,random,5000,4,315,73599
QuickSort_Random,random,5000,5,268,72430
QuickSort_Median3,random,5000,1,240,70395
QuickSort_Median3,random,5000,2,218,69703
QuickSort_Median3,random,5000,3,237,67837
QuickSort_Median3,random,5000,4,218,67957
QuickSort_Median3,random,5000,5,216,67814
HeapSort,random,5000,1,268,107813
HeapSort,random,5000,2,283,107675
HeapSort,random,5000,3,265,107700
HeapSort,random,5000,4,265,107711
HeapSort,random,5000,5,270,107646
RadixSort,random,5000,1,117,0
RadixSort,random,5000,2,100,0
RadixSort,random,5000,3,112,0
RadixSort,random,5000,4,113,0
RadixSort,random,5000,5,121,0
BubbleSort,increasing,5000,1,2,4999
BubbleSort,increasing,5000,2,2,4999
BubbleSort,increasing,5000,3,2,4999
BubbleSort,increasing,5000,4,2,4999
BubbleSort,increasing,5000,5,2,4999
InsertionSort,increasing,5000,1,5,4999
InsertionSort,increasing,5000,2,4,4999
InsertionSort,increasing,5000,3,4,4999
InsertionSort,increasing,5000,4,4,4999
InsertionSort,increasing,5000,5,4,4999
MergeSort,increasing,5000,1,81,32004
MergeSort,increasing,5000,2,78,32004
MergeSort,increasing,5000,3,77,32004
MergeSort,increasing,5000,4,109,32004
MergeSort,increasing,5000,5,72,32004
QuickSort_First,increasing,5000,1,4267,12497500
QuickSort_First,increasing,5000,2,4408,12497500
QuickSort_First,increasing,5000,3,4305,12497500
QuickSort_First,increasing,5000,4,4363,12497500
QuickSort_First,increasing,5000,5,4223,12497500
QuickSort_Random,increasing,5000,1,116,71348
QuickSort_Random,increasing,5000,2,116,71348
QuickSort_Random,increasing,5000,3,116,71348
QuickSort_Random,increasing,5000,4,106,71348
QuickSort_Random,increasing,5000,5,95,71348
QuickSort_Median3,increasing,5000,1,42,60678
QuickSort_Median3,increasing,5000,2,41,60678
QuickSort_Median3,increasing,5000,3,41,60678
QuickSort_Median3,increasing,5000,4,41,60678
QuickSort_Median3,increasing,5000,5,40,60678
HeapSort,increasing,5000,1,229,112126
HeapSort,increasing,5000,2,274,112126
HeapSort,increasing,5000,3,227,112126
HeapSort,increasing,5000,4,227,112126
HeapSort,increasing,5000,5,255,112126
RadixSort,increasing,5000,1,77,0
RadixSort,increasing,5000,2,87,0
RadixSort,increasing,5000,3,72,0
RadixSort,increasing,5000,4,72,0
RadixSort,increasing,5000,5,72,0
BubbleSort,decreasing,5000,1,9101,12497500
BubbleSort,decreasing,5000,2,9025,12497500
BubbleSort,decreasing,5000,3,8947,12497500
BubbleSort,decreasing,5000,4,8778,12497500
BubbleSort,decreasing,5000,5,8841,12497500
InsertionSort,decreasing,5000,1,5067,12497500
InsertionSort,decreasing,5000,2,5302,12497500
InsertionSort,decreasing,5000,3,5159,12497500
InsertionSort,decreasing,5000,4,5061,12497500
InsertionSort,decreasing,5000,5,5128,12497500
MergeSort,decreasing,5000,1,102,29804
MergeSort,decreasing,5000,2,93,29804
MergeSort,decreasing,5000,3,95,29804
MergeSort,decreasing,5000,4,81,29804
MergeSort,decreasing,5000,5,66,29804
QuickSort_First,decreasing,5000,1,6756,12497500
QuickSort_First,decreasing,5000,2,6738,12497500
QuickSort_First,decreasing,5000,3,6576,12497500
QuickSort_First,decreasing,5000,4,6680,12497500
QuickSort_First,decreasing,5000,5,6563,12497500
QuickSort_Random,decreasing,5000,1,156,74102
QuickSort_Random,decreasing,5000,2,157,74102
QuickSort_Random,decreasing,5000,3,178,74102
QuickSort_Random,decreasing,5000,4,159,74102
QuickSort_Random,decreasing,5000,5,131,74102
QuickSort_Median3,decreasing,5000,1,94,108443
QuickSort_Median3,decreasing,5000,2,96,108443
QuickSort_Median3,decreasing,5000,3,132,108443
QuickSort_Median3,decreasing,5000,4,107,108443
QuickSort_Median3,decreasing,5000,5,91,108443
HeapSort,decreasing,5000,1,219,103227
HeapSort,decreasing,5000,2,217,103227
HeapSort,decreasing,5000,3,223,103227
HeapSort,decreasing,5000,4,225,103227
HeapSort,decreasing,5000,5,224,103227
RadixSort,decreasing,5000,1,100,0
RadixSort,decreasing,5000,2,82,0
RadixSort,decreasing,5000,3,81,0
RadixSort,decreasing,5000,4,85,0
RadixSort,decreasing,5000,5,110,0
BubbleSort,random,10000,1,45763,49987374
BubbleSort,random,10000,2,62676,49979775
BubbleSort,random,10000,3,47022,49976279
BubbleSort,random,10000,4,47948,49987979
BubbleSort,random,10000,5,47135,49981634
InsertionSort,random,10000,1,10522,25000861
InsertionSort,random,10000,2,10505,25068955
InsertionSort,random,10000,3,10928,25029804
InsertionSort,random,10000,4,10939,24900906
InsertionSort,random,10000,5,10548,25214092
MergeSort,random,10000,1,665,120356
MergeSort,random,10000,2,787,120454
MergeSort,random,10000,3,676,120421
MergeSort,random,10000,4,774,120522
MergeSort,random,10000,5,720,120592
QuickSort_First,random,10000,1,556,152334
QuickSort_First,random,10000,2,540,145951
QuickSort_First,random,10000,3,533,153674
QuickSort_First,random,10000,4,533,152577
QuickSort_First,random,10000,5,556,159821
QuickSort_Random,random,10000,1,620,150725
QuickSort_Random,random,10000,2,605,162277
QuickSort_Random,random,10000,3,622,154591
QuickSort_Random,random,10000,4,651,155497
QuickSort_Random,random,10000,5,569,160165
QuickSort_Median3,random,10000,1,527,147888
QuickSort_Median3,random,10000,2,512,150670
QuickSort_Median3,random,10000,3,504,146539
QuickSort_Median3,random,10000,4,453,148657
QuickSort_Median3,random,10000,5,466,155407
HeapSort,random,10000,1,603,235344
HeapSort,random,10000,2,606,235493
HeapSort,random,10000,3,599,235388
HeapSort,random,10000,4,612,235238
HeapSort,random,10000,5,584,235300
RadixSort,random,10000,1,202,0
RadixSort,random,10000,2,204,0
RadixSort,random,10000,3,199,0
RadixSort,random,10000,4,249,0
RadixSort,random,10000,5,202,0
BubbleSort,increasing,10000,1,5,9999
BubbleSort,increasing,10000,2,5,9999
BubbleSort,increasing,10000,3,5,9999
BubbleSort,increasing,10000,4,6,9999
BubbleSort,increasing,10000,5,5,9999
InsertionSort,increasing,10000,1,9,9999
InsertionSort,increasing,10000,2,8,9999
InsertionSort,increasing,10000,3,8,9999
InsertionSort,increasing,10000,4,8,9999
InsertionSort,increasing,10000,5,8,9999
MergeSort,increasing,10000,1,159,69008
MergeSort,increasing,10000,2,145,69008
MergeSort,increasing,10000,3,145,69008
MergeSort,increasing,10000,4,152,69008
MergeSort,increasing,10000,5,149,69008
QuickSort_First,increasing,10000,1,17178,49995000
