algorithm,input_type,n,min_time,avg_time,min_comparisons,avg_comparisons,num_trials
BubbleSort,decreasing,1000,372,418.8,499500,499500.0,5
BubbleSort,decreasing,5000,8778,8938.4,12497500,12497500.0,5
BubbleSort,decreasing,10000,34489,36036.4,49995000,49995000.0,5
BubbleSort,increasing,1000,0,0.2,999,999.0,5
BubbleSort,increasing,5000,2,2.0,4999,4999.0,5
BubbleSort,increasing,10000,5,5.2,9999,9999.0,5
BubbleSort,random,1000,496,550.2,498465,499045.6,5
BubbleSort,random,5000,11049,11185.4,12488589,12492127.6,5
BubbleSort,random,10000,45763,50108.8,49976279,49982608.2,5
HeapSort,decreasing,1000,30,34.6,15965,15965.0,5
HeapSort,decreasing,5000,217,221.6,103227,103227.0,5
HeapSort,decreasing,10000,462,507.4,226682,226682.0,5
HeapSort,decreasing,50000,2943,3040.2,1366047,1366047.0,5
HeapSort,decreasing,100000,6542,6666.0,2926640,2926640.0,5
HeapSort,increasing,1000,38,41.2,17583,17583.0,5
HeapSort,increasing,5000,227,242.4,112126,112126.0,5
HeapSort,increasing,10000,547,560.4,244460,244460.0,5
HeapSort,increasing,50000,3261,3284.6,1455438,1455438.0,5
HeapSort,increasing,100000,6997,7116.4,3112517,3112517.0,5
HeapSort,random,1000,41,44.2,16843,16861.6,5
HeapSort,random,5000,265,270.2,107646,107709.0,5
HeapSort,random,10000,584,600.8,235238,235352.6,5
HeapSort,random,50000,3716,3782.6,1409736,1409902.8,5
HeapSort,random,100000,7914,8227.0,3019099,3019610.0,5
InsertionSort,decreasing,1000,220,229.6,499500,499500.0,5
InsertionSort,decreasing,5000,5061,5143.4,12497500,12497500.0,5
InsertionSort,decreasing,10000,20331,20639.0,49995000,49995000.0,5
InsertionSort,decreasing,50000,498576,502227.8,1249975000,1249975000.0,5
InsertionSort,decreasing,100000,1990715,2002880.6,4999950000,4999950000.0,5
InsertionSort,increasing,1000,0,0.8,999,999.0,5
InsertionSort,increasing,5000,4,4.2,4999,4999.0,5
InsertionSort,increasing,10000,8,8.2,9999,9999.0,5
InsertionSort,increasing,50000,43,46.4,49999,49999.0,5
InsertionSort,increasing,100000,87,100.2,99999,99999.0,5
InsertionSort,random,1000,106,126.6,240674,249704.2,5
InsertionSort,random,5000,2649,2764.0,6159959,6273860.6,5
InsertionSort,random,10000,10505,10688.4,24900906,25042923.6,5
InsertionSort,random,50000,249689,254213.0,621017606,622676031.2,5
InsertionSort,random,100000,994831,1010039.2,2492294310,2496526835.8,5
MergeSort,decreasing,1000,12,14.0,4932,4932.0,5
MergeSort,decreasing,5000,66,87.4,29804,29804.0,5
MergeSort,decreasing,10000,166,195.0,64608,64608.0,5
MergeSort,decreasing,50000,909,993.6,382512,382512.0,5
MergeSort,decreasing,100000,1849,1944.8,815024,815024.0,5
MergeSort,increasing,1000,13,14.4,5044,5044.0,5
MergeSort,increasing,5000,72,83.4,32004,32004.0,5
MergeSort,increasing,10000,145,150.0,69008,69008.0,5
MergeSort,increasing,50000,904,924.0,401952,401952.0,5
MergeSort,increasing,100000,1824,1864.6,853904,853904.0,5
MergeSort,random,1000,51,57.8,8684,8693.8,5
MergeSort,random,5000,280,295.0,55185,55228.2,5
